Year,m,d,Time,Time zone,Pressure (msl) (hPa),Air temperature (degC)
2019,10,3,00:00,UTC,1017.3,0.2
2019,10,3,00:10,UTC,1017.4,0.2
2019,10,3,00:20,UTC,1017.5,0.1
2019,10,3,00:30,UTC,1017.5,0.1
2019,10,3,00:40,UTC,1017.5,0
2019,10,3,00:50,UTC,1017.5,-0.1
2019,10,3,01:00,UTC,1017.6,-0.1
2019,10,3,01:10,UTC,1017.7,-0.4
2019,10,3,01:20,UTC,1017.6,-0.3
2019,10,3,01:30,UTC,1017.7,-0.4
2019,10,3,01:40,UTC,1017.7,-0.4
2019,10,3,01:50,UTC,1017.7,-0.4
2019,10,3,02:00,UTC,1017.8,-0.4
2019,10,3,02:10,UTC,1017.9,-0.6
2019,10,3,02:20,UTC,1018,-0.5
2019,10,3,02:30,UTC,1018.1,-0.5
2019,10,3,02:40,UTC,1018.2,-0.6
2019,10,3,02:50,UTC,1018.3,-0.7
2019,10,3,03:00,UTC,1018.4,-0.7
2019,10,3,03:10,UTC,1018.5,-0.8
2019,10,3,03:20,UTC,1018.5,-0.8
2019,10,3,03:30,UTC,1018.6,-0.8
2019,10,3,03:40,UTC,1018.8,-0.9
2019,10,3,03:50,UTC,1018.9,-0.9
2019,10,3,04:00,UTC,1019.1,-1
2019,10,3,04:10,UTC,1019.3,-1
2019,10,3,04:20,UTC,1019.4,-1.1
2019,10,3,04:30,UTC,1019.6,-1.1
2019,10,3,04:40,UTC,1019.7,-1.1
2019,10,3,04:50,UTC,1019.8,-1.2
2019,10,3,05:00,UTC,1020,-1.1
2019,10,3,05:10,UTC,1020.1,-1.1
2019,10,3,05:20,UTC,1020.2,-1.1
2019,10,3,05:30,UTC,1020.2,-1
2019,10,3,05:40,UTC,1020.3,-0.9
2019,10,3,05:50,UTC,1020.4,-0.8
2019,10,3,06:00,UTC,1020.5,-0.7
2019,10,3,06:10,UTC,1020.6,-0.7
2019,10,3,06:20,UTC,1020.7,-0.4
2019,10,3,06:30,UTC,1020.8,-0.4
2019,10,3,06:40,UTC,1020.9,-0.3
2019,10,3,06:50,UTC,1021,-0.2
2019,10,3,07:00,UTC,1021.1,-0.1
2019,10,3,07:10,UTC,1021.2,0.1
2019,10,3,07:20,UTC,1021.3,0.3
2019,10,3,07:30,UTC,1021.3,0.5
2019,10,3,07:40,UTC,1021.4,0.8
2019,10,3,07:50,UTC,1021.3,0.9
